Px1	Py1	Pz1	Px2	Py2	Pz2	Px3	Py3	Pz3	Px4	Py4	Pz4
0.72799	-0.878891	0.859949	-0.693521	0.904631	-0.779005	0.0796276	-0.245198	0.649537	-0.0923935	0.2487	-0.711584
0.111811	0.619222	1.23352	-0.37232	-0.174348	-1.31313	0.093369	-0.113215	0.701841	0.186406	-0.337462	-0.639817
-1.23135	1.55397	0.774327	1.3606	-1.19302	-0.942122	-0.0471946	-0.0311572	0.845311	-0.103954	-0.318523	-0.711584
-0.246263	0.644233	1.43642	0.330305	-0.704151	-1.4471	-0.0999631	0.26161	0.716839	0.0927029	-0.280339	-0.698572
-0.834752	0.526783	0.745835	1.40965	-0.277334	-0.765378	-0.326547	-0.0815444	0.709337	-0.249116	-0.208927	-0.685543
-0.885651	-0.629685	1.01749	0.874805	0.69743	-1.11799	0.112008	0.364723	0.582715	-0.100398	-0.55664	-0.488173
0.0227723	-0.59428	1.41462	-0.286004	0.529225	-1.73345	0.3529	-0.100447	0.694351	-0.0836668	0.183319	-0.367948
1.04512	0.575187	1.13973	-0.698903	-1.20797	-0.512319	-0.214771	0.73551	0.177152	-0.172198	-0.228919	-0.776414
-0.0220503	0.943076	1.42915	-0.617875	-0.507284	-1.47383	0.423579	-0.0178992	0.634647	0.257116	-0.444309	-0.607035
0.0228396	0.153305	1.51647	0.268852	-0.0952304	-1.39357	-0.145895	0.0642406	0.664451	-0.137651	-0.239707	-0.782876
-0.729688	-0.502443	0.97445	1.3641	-0.193695	-1.38018	-0.204553	0.0513267	0.612355	-0.479033	0.538285	-0.232704
-0.335593	0.344828	1.40009	0.475402	-0.213297	-1.39357	-0.401448	0.587166	0.421334	0.225784	-0.796891	-0.441584
0.402585	-0.337197	1.32032	-0.186172	0.477	-1.27956	0.0669242	-0.310884	0.731862	-0.23583	0.0995563	-0.757006
-1.35504	0.553778	1.12533	1.08238	-0.274353	-1.13823	-0.0803717	-0.17149	0.769524	0.339815	-0.202086	-0.750529
0.267669	-1.12134	1.21185	-0.229225	0.977422	-1.03693	0.212904	0.400305	0.377792	-0.19369	-0.373933	-0.554373
1.34204	0.506265	0.774327	-1.24685	-0.721765	-0.594592	0.226598	0.0327502	0.701841	-0.306266	0.038702	-0.898534
1.20424	-0.655011	1.24074	-0.831671	0.478771	-1.15171	-0.0457655	0.52543	0.538429	-0.286132	-0.499959	-0.607035
-0.159263	-0.192048	2.02309	0.224494	0.604957	-1.85926	0.0201536	-0.463654	0.731862	-0.0282378	0.0332545	-0.911309
-0.474367	0.886474	1.72111	0.694524	-0.560969	-1.7931	0.127345	-0.107433	0.754441	-0.323824	-0.324241	-0.70508
-1.74299	-0.606312	0.888537	1.34469	1.14388	-0.81305	0.227623	-0.273102	0.746908	0.14922	-0.277802	-0.789334
-0.936184	-0.0603213	1.24797	0.457052	0.695391	-1.21906	0.437792	-0.131661	0.656991	0.034732	-0.516103	-0.724582
-0.376507	0.13011	1.04621	0.307596	0.510524	-1.68035	-0.30124	-0.0500145	0.754441	0.41679	-0.682097	-0.130082
-1.52297	0.110137	1.40735	1.13857	-0.470021	-1.32655	0.140739	0.313636	0.754441	0.233744	-0.00998689	-0.853701
0.112281	0.34461	1.37832	-0.389239	-0.563346	-1.64712	-0.134142	0.555191	0.291294	0.452113	-0.512266	-0.0264057
0.178679	-0.50623	1.23352	-0.247763	-0.11502	-1.36008	0.0797467	0.0958535	0.664451	0.017748	0.404504	-0.534557
1.36178	0.693706	0.717367	-1.4048	-0.496297	-0.867453	0.270789	0.390967	0.612355	-0.183893	-0.615418	-0.448252
1.33186	1.02231	0.511686	-1.20986	-1.23061	-0.44361	-0.198691	0.146215	0.649537	0.0986196	-0.0432849	-0.685543
0.476623	-0.147772	1.83127	-1.13326	-0.228325	-2.08989	0.488909	-0.0895095	0.891084	0.19792	0.383366	-0.646361
-0.133541	-0.613174	1.27689	0.518725	0.516788	-1.25941	-0.12043	-0.145712	0.754441	-0.252275	0.219449	-0.789334
1.02183	-0.0600697	1.10373	-1.39399	0.244753	-0.61513	0.761383	-0.0355895	0.298472	-0.396435	-0.190743	-0.769949
0.677413	-0.577062	1.66251	-0.906198	0.297576	-1.48051	0.509002	0.175036	0.494349	-0.28315	0.0339261	-0.711584
-0.980987	-0.421555	1.2552	0.776472	0.362922	-0.860657	0.422326	0.0558302	0.298472	-0.219707	-0.0817745	-0.70508
-0.786185	0.53868	1.51647	0.0623868	0.259323	-1.34667	0.515605	-0.434877	0.370554	0.188259	-0.419244	-0.541166
0.178418	-0.887159	1.18299	-0.206333	0.200054	-1.37348	-0.403814	0.0956389	0.642089	0.434525	0.499829	-0.421553
-0.643604	0.553432	1.10373	0.251169	-0.574294	-0.982784	0.261463	-0.129721	0.50902	0.134182	0.184175	-0.626716
-0.134789	0.218049	1.59817	0.0413121	-0.231101	-1.67237	0.0469574	0.275191	0.748414	0.0232648	-0.264003	-0.690756
0.880913	0.716428	0.80427	-0.861084	-0.657329	-0.804882	0.333385	0.293608	0.510488	-0.381654	-0.368387	-0.553053
0.625279	-0.18795	1.27834	-0.639745	-0.0558552	-1.40562	0.0523086	0.442373	0.495815	-0.0296821	-0.15229	-0.41353
-0.399275	0.849463	1.09798	0.478764	-0.809316	-1.15036	-0.191806	0.227979	0.636135	0.163675	-0.399841	-0.605722
0.295521	0.457697	1.86954	-0.346908	0.21718	-1.77853	0.248798	-0.410502	0.525183	-0.151501	-0.287957	-0.625405
0.29142	1.09123	1.38703	0.147039	-0.755473	-0.893266	-0.24623	-0.161504	0.17148	-0.215355	-0.148892	-0.638508
-0.477939	0.0685808	1.9802	0.265311	0.00311718	-1.85133	-0.124331	-0.279776	0.53254	0.406636	0.106015	-0.664664
0.991597	0.465048	0.825674	-1.39932	-0.663482	-0.483478	0.246612	-0.0712939	0.17857	0.111684	0.196731	-0.553053
0.381295	-0.103311	1.41607	-0.185349	0.297991	-1.43239	-0.0533913	-0.253824	0.740887	-0.121233	0.000883552	-0.716785
-1.00228	-0.781989	1.22052	0.789547	0.715475	-1.20425	-0.185604	0.190578	0.658483	0.405309	-0.170077	-0.697269
-0.863178	-0.58726	1.00457	0.939877	0.221992	-1.02205	-0.205348	-0.0053005	0.651028	0.127865	0.310735	-0.664664
1.37727	-0.413092	0.555555	-1.26804	0.567143	-0.593222	0.19303	-0.1194	0.688364	-0.336974	-0.0101844	-0.658131
